,YEAR,MONTH,ORIGIN_AIRPORT_ID,count,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
2070,2020,7,14122,1418,"Pittsburgh, PA: Pittsburgh International",PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
2071,2020,7,14492,1414,"Raleigh/Durham, NC: Raleigh-Durham International",RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
2072,2020,7,14635,1715,"Fort Myers, FL: Southwest Florida International",RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
2073,2020,7,14679,3469,"San Diego, CA: San Diego International",SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
2074,2020,7,14683,1271,"San Antonio, TX: San Antonio International",SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
2075,2020,7,14747,5771,"Seattle, WA: Seattle/Tacoma International",SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
2076,2020,7,14771,3668,"San Francisco, CA: San Francisco International",SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
2077,2020,7,14831,2108,"San Jose, CA: Norman Y. Mineta San Jose International",SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
2078,2020,7,14843,1912,"San Juan, PR: Luis Munoz Marin International",SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333
2079,2020,7,14869,4072,"Salt Lake City, UT: Salt Lake City International",SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
2080,2020,7,14893,2349,"Sacramento, CA: Sacramento International",SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
2081,2020,7,14908,1617,"Santa Ana, CA: John Wayne Airport-Orange County",SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225
2082,2020,7,15016,3554,"St. Louis, MO: St Louis Lambert International",STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
2083,2020,7,15304,3988,"Tampa, FL: Tampa International",TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
2084,2020,8,10299,1284,"Anchorage, AK: Ted Stevens Anchorage International",ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
2085,2020,8,10397,17054,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
2086,2020,8,10423,2907,"Austin, TX: Austin - Bergstrom International",AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
2088,2020,8,10693,4386,"Nashville, TN: Nashville International",BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
2089,2020,8,10721,4445,"Boston, MA: Logan International",BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
2090,2020,8,10821,6193,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
2091,2020,8,11042,1557,"Cleveland, OH: Cleveland-Hopkins International",CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
2092,2020,8,11057,6413,"Charlotte, NC: Charlotte Douglas International",CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
2093,2020,8,11066,1222,"Columbus, OH: John Glenn Columbus International",CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
2094,2020,8,11193,1180,"Cincinnati, OH: Cincinnati/Northern Kentucky International",CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
2095,2020,8,11259,4464,"Dallas, TX: Dallas Love Field",DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
2096,2020,8,11278,2732,"Washington, DC: Ronald Reagan Washington National",DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
2097,2020,8,11292,13807,"Denver, CO: Denver International",DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2098,2020,8,11298,11589,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
2099,2020,8,11433,3754,"Detroit, MI: Detroit Metro Wayne County",DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
2100,2020,8,11618,3770,"Newark, NJ: Newark Liberty International",EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
2101,2020,8,11697,3990,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
2103,2020,8,12173,2175,"Honolulu, HI: Daniel K Inouye International",HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
2104,2020,8,12191,3709,"Houston, TX: William P Hobby",HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
2105,2020,8,12264,1374,"Washington, DC: Washington Dulles International",IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
2106,2020,8,12266,3418,"Houston, TX: George Bush Intercontinental/Houston",IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2107,2020,8,12339,1486,"Indianapolis, IN: Indianapolis International",IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
2108,2020,8,12478,3097,"New York, NY: John F. Kennedy International",JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
2109,2020,8,12889,8917,"Las Vegas, NV: McCarran International",LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
2110,2020,8,12892,7481,"Los Angeles, CA: Los Angeles International",LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
2111,2020,8,12953,2702,"New York, NY: LaGuardia",LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2112,2020,8,13198,1881,"Kansas City, MO: Kansas City International",MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
2113,2020,8,13204,6470,"Orlando, FL: Orlando International",MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
2114,2020,8,13232,5520,"Chicago, IL: Chicago Midway International",MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
2115,2020,8,13303,2823,"Miami, FL: Miami International",MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
2116,2020,8,13342,1157,"Milwaukee, WI: General Mitchell International",MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
2117,2020,8,13487,4499,"Minneapolis, MN: Minneapolis-St Paul International",MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2118,2020,8,13495,2207,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
2119,2020,8,13796,2260,"Oakland, CA: Metropolitan Oakland International",OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
2120,2020,8,13930,7022,"Chicago, IL: Chicago O'Hare International",ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2121,2020,8,14057,2093,"Portland, OR: Portland International",PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
2122,2020,8,14100,4190,"Philadelphia, PA: Philadelphia International",PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
2123,2020,8,14107,7693,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
2124,2020,8,14122,1462,"Pittsburgh, PA: Pittsburgh International",PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
2125,2020,8,14492,1624,"Raleigh/Durham, NC: Raleigh-Durham International",RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
